Purchase_ID,Purchase_Date,Customer_ID,Age_Group,Gender,City,Country,Gift_Category,Gift_Item,Recipient,Unit_Price,Quantity,Total_Revenue,Unit_Cost,Profit,Profit_Margin_%,Payment_Mode,Purchase_Channel,Discount_Percent,Satisfaction_Rating
P0001,2025-12-05,C854,18-25,Male,Surat,India,Accessories,Perfume,Sibling,704,2,1408,448.26,511.48,36.33,UPI,Online,0,3
P0002,2025-12-23,C658,46-55,Male,Kolkata,India,Electronics,Bluetooth Speaker,Spouse,717,1,717,507.21,209.79,29.26,Card,Online,5,5
P0003,2025-12-11,C204,18-25,Female,Mumbai,India,Home Decor,Wall Candles,Family,2776,1,2776,1755.26,1020.74,36.77,Card,Offline,0,5
P0004,2025-12-10,C949,36-45,Male,Lucknow,India,Home Decor,Decor Tree,Self,1522,2,3044,931.19,1181.62,38.82,UPI,Online,10,3
P0005,2025-12-21,C954,36-45,Male,Pune,India,Books,Novel Set,Family,1327,2,2654,851.53,950.94,35.83,UPI,Offline,0,5
P0006,2025-12-13,C376,26-35,Female,Delhi,India,Accessories,Perfume,Friend,4875,1,4875,3044.49,1830.51,37.55,UPI,Offline,15,4
P0007,2025-12-13,C758,46-55,Male,Hyderabad,India,Toys,Teddy Bear,Friend,3077,1,3077,2148.72,928.28,30.17,UPI,Offline,20,4
P0008,2025-12-05,C621,46-55,Male,Delhi,India,Food & Sweets,Plum Cake,Self,3465,1,3465,2597.36,867.64,25.04,UPI,Online,15,5
P0009,2025-12-18,C981,18-25,Male,Indore,India,Toys,Remote Car,Spouse,3626,2,7252,2463.39,2325.22,32.06,Card,Offline,0,4
P0010,2025-12-24,C369,26-35,Male,Indore,India,Home Decor,Christmas Lights,Family,4216,1,4216,3132.79,1083.21,25.69,Cash,Online,5,4
P0011,2025-12-16,C119,18-25,Female,Hyderabad,India,Books,Novel Set,Friend,4918,1,4918,3392.64,1525.36,31.02,UPI,Online,20,3
P0012,2025-12-18,C884,26-35,Male,Indore,India,Toys,Puzzle Game,Sibling,4481,1,4481,3345.95,1135.05,25.33,Cash,Online,10,5
P0013,2025-12-24,C806,26-35,Female,Jaipur,India,Books,Inspirational Book,Family,3966,1,3966,2932.21,1033.79,26.07,Card,Offline,0,3
P0014,2025-12-08,C702,26-35,Male,Mumbai,India,Electronics,Smart Watch,Self,3269,1,3269,2249.88,1019.12,31.18,UPI,Online,0,4
P0015,2025-12-07,C652,26-35,Female,Chennai,India,Toys,Puzzle Game,Sibling,2449,2,4898,1715.15,1467.7,29.97,Card,Online,0,3
P0016,2025-12-24,C155,18-25,Male,Jaipur,India,Accessories,Handbag,Family,3402,2,6804,2250.99,2302.02,33.83,UPI,Online,5,3
P0017,2025-12-15,C355,18-25,Female,Ahmedabad,India,Food & Sweets,Plum Cake,Self,1648,2,3296,1034.16,1227.68,37.25,UPI,Online,0,3
P0018,2025-12-13,C160,26-35,Female,Delhi,India,Electronics,Wireless Earbuds,Sibling,4478,2,8956,2830.37,3295.26,36.79,Card,Offline,10,4
P0019,2025-12-07,C159,18-25,Female,Delhi,India,Accessories,Wallet,Self,4486,1,4486,2819.38,1666.62,37.15,Cash,Offline,20,5
P0020,2025-12-03,C709,18-25,Male,Jaipur,India,Electronics,Smart Watch,Self,4660,1,4660,3391.09,1268.91,27.23,Cash,Online,20,5
P0021,2025-12-19,C635,36-45,Female,Chennai,India,Toys,Puzzle Game,Family,1171,2,2342,818.07,705.86,30.14,UPI,Offline,15,3
P0022,2025-12-03,C109,46-55,Male,Mumbai,India,Accessories,Wallet,Spouse,2957,2,5914,1914.44,2085.12,35.26,UPI,Offline,5,4
P0023,2025-12-18,C820,36-45,Male,Indore,India,Toys,Teddy Bear,Spouse,3527,2,7054,2199.66,2654.68,37.63,Card,Online,5,4
P0024,2025-12-07,C834,36-45,Male,Indore,India,Toys,Teddy Bear,Family,1773,2,3546,1138.73,1268.54,35.77,Cash,Offline,10,3
P0025,2025-12-11,C889,26-35,Female,Bangalore,India,Toys,Puzzle Game,Sibling,3969,2,7938,2407.65,3122.7,39.34,Cash,Offline,20,3
P0026,2025-12-19,C665,26-35,Female,Bangalore,India,Toys,Teddy Bear,Self,1721,1,1721,1248.05,472.95,27.48,Card,Offline,0,4
P0027,2025-12-18,C995,46-55,Male,Chennai,India,Electronics,Bluetooth Speaker,Friend,2544,1,2544,1661.36,882.64,34.69,UPI,Offline,0,3
P0028,2025-12-23,C210,46-55,Male,Kolkata,India,Accessories,Handbag,Friend,3872,1,3872,2478.16,1393.84,36.0,UPI,Offline,10,4
P0029,2025-12-13,C436,36-45,Male,Hyderabad,India,Books,Novel Set,Family,2326,1,2326,1625.89,700.11,30.1,Cash,Offline,20,4
P0030,2025-12-09,C139,18-25,Female,Pune,India,Toys,Teddy Bear,Family,2639,1,2639,1813.23,825.77,31.29,Card,Online,15,5
P0031,2025-12-18,C803,26-35,Female,Jaipur,India,Electronics,Wireless Earbuds,Self,863,2,1726,518.02,689.96,39.97,Cash,Offline,20,4
P0032,2025-12-11,C512,36-45,Male,Chennai,India,Accessories,Perfume,Sibling,2960,2,5920,2072.1,1775.8,30.0,Cash,Offline,5,5
P0033,2025-12-07,C540,36-45,Female,Kolkata,India,Food & Sweets,Plum Cake,Sibling,3826,1,3826,2469.99,1356.01,35.44,Cash,Online,20,4
P0034,2025-12-22,C748,36-45,Male,Chennai,India,Books,Inspirational Book,Family,1890,1,1890,1214.45,675.55,35.74,UPI,Online,5,3
P0035,2025-12-21,C689,26-35,Female,Kolkata,India,Toys,Teddy Bear,Sibling,4392,1,4392,2935.23,1456.77,33.17,UPI,Online,0,3
P0036,2025-12-23,C630,46-55,Male,Ahmedabad,India,Books,Diary,Friend,2292,1,2292,1651.65,640.35,27.94,UPI,Offline,5,4
P0037,2025-12-24,C616,46-55,Female,Bangalore,India,Accessories,Wallet,Sibling,3099,2,6198,2144.19,1909.62,30.81,Card,Offline,5,5
P0038,2025-12-03,C830,36-45,Male,Hyderabad,India,Clothing,Scarf,Family,4469,1,4469,2865.48,1603.52,35.88,Card,Online,5,3
P0039,2025-12-14,C438,46-55,Female,Delhi,India,Electronics,Wireless Earbuds,Friend,1751,1,1751,1067.47,683.53,39.04,Card,Offline,20,5
P0040,2025-12-12,C405,46-55,Female,Ahmedabad,India,Toys,Puzzle Game,Spouse,3616,2,7232,2172.8,2886.4,39.91,Cash,Online,15,3
P0041,2025-12-22,C795,46-55,Male,Kolkata,India,Clothing,Winter Jacket,Friend,4478,1,4478,2948.0,1530.0,34.17,Cash,Online,15,5
P0042,2025-12-05,C987,46-55,Male,Delhi,India,Food & Sweets,Dry Fruits Box,Family,722,1,722,502.81,219.19,30.36,Card,Offline,5,4
P0043,2025-12-14,C358,18-25,Female,Delhi,India,Clothing,Winter Jacket,Spouse,3605,2,7210,2569.65,2070.7,28.72,UPI,Offline,5,5
P0044,2025-12-07,C959,18-25,Male,Chennai,India,Toys,Puzzle Game,Friend,829,1,829,615.48,213.52,25.76,Card,Online,20,3
P0045,2025-12-20,C865,18-25,Male,Hyderabad,India,Home Decor,Decor Tree,Self,2599,2,5198,1624.81,1948.38,37.48,Cash,Online,10,5
P0046,2025-12-23,C950,26-35,Male,Lucknow,India,Accessories,Handbag,Family,3749,1,3749,2292.14,1456.86,38.86,Cash,Online,20,3
P0047,2025-12-21,C449,18-25,Female,Kolkata,India,Clothing,Scarf,Self,4009,2,8018,2446.87,3124.26,38.97,Card,Offline,15,5
P0048,2025-12-18,C893,46-55,Female,Jaipur,India,Electronics,Wireless Earbuds,Spouse,1942,2,3884,1344.62,1194.76,30.76,Card,Offline,5,3
P0049,2025-12-22,C488,36-45,Male,Kolkata,India,Clothing,Winter Jacket,Family,2497,2,4994,1711.64,1570.72,31.45,UPI,Offline,5,4
P0050,2025-12-23,C382,18-25,Male,Mumbai,India,Books,Diary,Friend,3288,2,6576,2406.97,1762.06,26.8,Cash,Offline,15,5
P0051,2025-12-01,C195,36-45,Male,Jaipur,India,Books,Novel Set,Friend,4400,2,8800,2935.8,2928.4,33.28,Card,Offline,15,5
P0052,2025-12-15,C377,36-45,Female,Chennai,India,Food & Sweets,Plum Cake,Self,3985,2,7970,2601.29,2767.42,34.72,Cash,Online,10,3
P0053,2025-12-16,C383,36-45,Male,Chennai,India,Accessories,Wallet,Family,2016,1,2016,1275.03,740.97,36.75,UPI,Offline,5,4
P0054,2025-12-02,C666,36-45,Male,Indore,India,Toys,Puzzle Game,Sibling,4875,1,4875,3125.59,1749.41,35.89,UPI,Online,20,4
P0055,2025-12-02,C358,46-55,Male,Mumbai,India,Home Decor,Wall Candles,Sibling,4108,2,8216,2578.4,3059.2,37.23,Card,Online,20,5
P0056,2025-12-10,C187,26-35,Male,Ahmedabad,India,Accessories,Perfume,Sibling,1742,1,1742,1257.15,484.85,27.83,Cash,Online,20,4
P0057,2025-12-20,C161,18-25,Male,Indore,India,Home Decor,Wall Candles,Friend,2935,2,5870,1895.44,2079.12,35.42,Card,Online,5,3
P0058,2025-12-15,C805,46-55,Female,Delhi,India,Electronics,Bluetooth Speaker,Friend,1114,1,1114,668.85,445.15,39.96,Card,Offline,15,3
P0059,2025-12-18,C330,26-35,Female,Bangalore,India,Accessories,Perfume,Self,2667,1,2667,1770.28,896.72,33.62,UPI,Online,10,5
P0060,2025-12-23,C411,46-55,Female,Ahmedabad,India,Accessories,Wallet,Spouse,2864,2,5728,1771.82,2184.36,38.13,Card,Offline,0,5
P0061,2025-12-08,C790,18-25,Female,Surat,India,Toys,Remote Car,Self,3140,2,6280,1896.18,2487.64,39.61,UPI,Offline,20,5
